year,month,pai1,pai3,tb1,tb3,cpi
1956,12,2.8935,1.9267,2.4948,3.0634,27.6
1957,1,0.0000,1.8785,3.0376,3.2751,27.6
1957,2,2.8865,2.8361,3.0305,3.1604,27.7
1957,3,2.7488,2.8293,2.8596,3.3099,27.8
1957,4,2.8730,4.2485,2.8098,3.0021,27.9
1957,5,2.8662,5.1836,3.0356,3.0620,28.0
1957,6,7.0062,4.7001,3.1205,3.3341,28.1
1957,7,5.6786,2.8360,2.9709,3.2839,28.3
1957,8,1.4155,0.9431,3.0505,3.4177,28.3
1957,9,1.4138,1.8391,3.0317,3.5440,28.3
1957,10,0.0000,1.3678,3.0457,3.4871,28.3
1957,11,4.1034,3.7079,3.3117,3.6577,28.4
1957,12,0.0000,2.8064,2.4948,3.1707,28.4
1958,1,7.0202,5.0881,2.6925,2.7770,28.6
1958,2,1.3991,3.6738,1.4965,1.4728,28.6
1958,3,6.8449,3.2075,1.1084,1.2643,28.8
1958,4,2.7775,1.3879,0.9827,1.0863,28.9
1958,5,0.0000,0.9237,1.1524,1.2083,28.9
1958,6,1.3862,0.9237,0.3215,0.5748,28.9
1958,7,1.3847,0.4616,0.6849,0.7408,29.0
1958,8,0.0000,0.4610,0.6938,0.9044,28.9
1958,9,0.0000,0.9216,1.7589,2.3490,28.9
1958,10,1.3831,0.4610,1.7550,2.8521,28.9
1958,11,1.3816,0.4605,1.6195,2.5886,29.0
1958,12,-1.3816,-0.4605,1.9340,2.8234,28.9
1959,1,1.3816,0.0000,2.3407,2.7056,29.0
1959,2,-1.3816,0.0000,2.4153,2.6948,28.9
1959,3,0.0000,0.8787,2.3220,2.7794,28.9
1959,4,1.3816,2.7136,2.3650,2.8802,29.0
1959,5,1.2546,3.1674,2.6801,2.8904,29.0
1959,6,5.5046,2.2923,2.6426,3.0601,29.1
1959,7,2.7429,1.3707,2.6748,3.2354,29.2
1959,8,-1.3707,1.7810,2.2434,3.0271,29.2
1959,9,2.7397,2.6922,3.4117,3.8785,29.3
1959,10,3.9739,0.8698,3.2949,4.1505,29.4
1959,11,1.3630,0.0000,3.0048,4.0565,29.4
1959,12,-2.7276,-0.4543,2.9716,4.4861,29.4
1960,1,1.3646,2.7214,3.9957,4.4410,29.3
1960,2,0.0000,2.2665,3.4137,4.0424,29.4
1960,3,6.7995,3.1286,3.8081,4.2378,29.4
1960,4,0.0000,0.8621,2.5208,3.0729,29.5
1960,5,2.5862,0.8621,2.9587,3.0700,29.5
1960,6,0.0000,0.4508,2.3520,3.1882,29.6
1960,7,0.0000,2.2489,1.5416,2.2185,29.6
1960,8,1.3524,2.6972,1.8157,2.2300,29.6
1960,9,5.3943,2.2464,1.7404,2.2915,29.6
1960,10,1.3448,0.4483,2.3754,2.3578,29.8
1960,11,0.0000,0.4478,1.5119,2.1348,29.8
1960,12,0.0000,0.0000,1.4304,2.4162,29.8
1961,1,1.3433,0.4478,1.9629,2.2368,29.8
1961,2,-1.3433,0.0000,2.0044,2.3265,29.8
1961,3,1.3433,0.8950,2.4448,2.6209,29.8
1961,4,0.0000,2.1909,2.1390,2.4267,29.8
1961,5,1.3418,1.7456,1.7722,2.2867,29.8
1961,6,5.2309,2.1885,2.2714,2.3684,29.8
1961,7,-1.3360,0.4448,2.0435,2.2889,30.0
1961,8,2.6705,0.8902,1.5978,2.2464,29.9
1961,9,0.0000,0.0000,2.0065,2.3735,30.0
1961,10,0.0000,0.0000,1.9791,2.2667,30.0
1961,11,0.0000,0.8882,1.9490,2.3185,30.0
1961,12,0.0000,1.7744,2.1971,2.5770,30.0
1962,1,2.6645,2.6185,2.4597,2.6994,30.0
1962,2,2.6586,1.7303,2.4886,2.7286,30.1
1962,3,2.5323,0.8441,2.4866,2.7460,30.1
1962,4,0.0000,0.8824,2.6309,2.7900,30.2
1962,5,0.0000,0.8824,2.6898,2.7544,30.2
1962,6,2.6471,3.0798,2.3739,2.7292,30.2
1962,7,0.0000,1.7590,2.9283,2.9512,30.3
1962,8,6.5925,1.7590,2.6438,2.9104,30.3
1962,9,-1.3156,-0.8775,2.6488,2.8396,30.4
1962,10,0.0000,0.0000,2.7096,2.7859,30.4
1962,11,-1.3170,0.4385,2.4866,2.7496,30.4
1962,12,1.3170,1.2758,2.5334,2.9042,30.4
1963,1,1.3156,0.8368,2.9441,2.9574,30.4
1963,2,1.1947,0.3982,2.9071,2.9676,30.4
1963,3,0.0000,1.7476,2.8527,2.9298,30.5
1963,4,0.0000,3.0533,2.8261,2.9468,30.5
1963,5,5.2428,3.0533,2.8526,2.9411,30.5
1963,6,3.9171,1.7400,2.8754,3.0514,30.6
1963,7,0.0000,0.8287,2.9844,3.0306,30.7
1963,8,1.3029,0.8287,3.0434,3.3211,30.7
1963,9,1.1832,1.2607,3.1786,3.4343,30.7
1963,10,0.0000,0.8663,3.4236,3.4319,30.8
1963,11,2.5990,0.8663,3.3678,3.5396,30.8
1963,12,0.0000,-0.4329,3.0662,3.5501,30.9
1964,1,0.0000,0.0000,3.4624,3.5761,30.9
1964,2,-1.2988,0.8644,3.4420,3.5463,30.9
1964,3,1.2988,1.2974,3.5180,3.6346,30.9
1964,4,2.5933,1.7270,3.5233,3.5814,30.9
1964,5,0.0000,1.2931,3.2970,3.5085,30.9
1964,6,2.5877,0.8626,3.1488,3.5261,31.0
1964,7,1.2918,0.8607,3.3852,3.4971,31.1
1964,8,-1.2918,0.8208,3.2055,3.5151,31.0
1964,9,2.5822,2.1094,3.3251,3.5000,31.1
1964,10,1.1719,1.6770,3.5134,3.6090,31.1
1964,11,2.5741,0.8580,3.4300,3.5877,31.2
1964,12,1.2850,0.0000,3.5538,3.8503,31.2
1965,1,-1.2850,0.0000,3.3759,3.8875,31.2
1965,2,0.0000,1.7106,3.9067,3.8940,31.2
1965,3,1.2850,2.5631,3.8401,4.0510,31.3
1965,4,3.8467,4.2197,3.7822,3.9458,31.4
1965,5,2.5577,3.3609,3.8439,3.9798,31.4
1965,6,6.2549,1.6611,3.7574,3.9313,31.6
1965,7,1.2702,0.4234,3.7575,3.8648,31.6
1965,8,-2.5417,0.0000,3.8383,3.8597,31.6
1965,9,2.5417,1.6926,3.7606,3.8846,31.6
1965,10,0.0000,2.0719,3.9405,4.0706,31.7
1965,11,2.5362,2.0719,3.8640,4.1042,31.7
1965,12,3.6796,3.7444,3.7674,4.1658,31.8
1966,1,0.0000,3.3157,4.2738,4.5500,31.8
1966,2,7.5537,4.9823,4.5052,4.6976,32.0
1966,3,2.3935,2.4644,4.4492,4.6508,32.1
1966,4,4.9996,2.4972,4.3655,4.5959,32.3
1966,5,0.0000,1.6596,4.5714,4.7028,32.3
1966,6,2.4920,4.0987,4.4748,4.6370,32.4
1966,7,2.4867,3.6794,4.4189,4.6011,32.5
1966,8,7.3175,4.4543,4.5059,4.7966,32.7
1966,9,1.2339,2.0151,4.6868,5.0470,32.7
1966,10,4.8114,1.6038,4.9938,5.4172,32.9
1966,11,0.0000,0.0000,4.6732,5.3316,32.9
1966,12,0.0000,0.4092,4.1134,5.2502,32.9
1967,1,0.0000,1.2265,4.5204,4.8965,32.9
1967,2,1.2277,2.0421,4.5230,4.5874,32.9
1967,3,2.4517,2.8161,4.3680,4.5899,33.0
1967,4,2.4467,3.2156,4.0623,4.0810,33.1
1967,5,3.5500,4.0164,3.4014,3.7695,33.2
1967,6,3.6500,3.6023,3.2523,3.5082,33.3
1967,7,4.8493,3.5914,3.6048,3.9919,33.4
1967,8,2.3076,3.1771,3.7021,4.2227,33.5
1967,9,3.6173,3.1710,3.8253,4.4235,33.6
1967,10,3.6064,3.1615,4.1299,4.4688,33.7
1967,11,2.2893,3.5488,4.1673,4.5911,33.8
1967,12,3.5888,3.9377,4.1747,5.0386,33.9
1968,1,4.7683,4.3201,4.2507,5.0912,34.1
1968,2,3.4560,3.9105,4.7849,4.9366,34.2
1968,3,4.7359,4.2908,4.6222,5.1117,34.3
1968,4,3.5397,3.8841,4.7058,5.1892,34.4
1968,5,4.5967,3.8373,5.3351,5.5218,34.5
1968,6,3.5158,3.4703,5.4408,5.8285,34.7
1968,7,3.3994,3.4602,5.3348,5.3795,34.9
1968,8,3.4955,4.2209,5.1824,5.2355,35.0
1968,9,3.4855,4.2087,4.8765,5.2451,35.1
1968,10,5.6817,3.8137,5.1780,5.2104,35.3
1968,11,3.4590,3.0326,5.5096,5.5633,35.4
1968,12,2.3005,3.4046,4.7749,5.5448,35.5
1969,1,3.3383,4.8800,5.9968,6.2452,35.6
1969,2,4.5749,5.6548,5.8849,6.3055,35.8
1969,3,6.7268,5.2239,5.6405,6.3438,36.1
1969,4,5.6626,5.6021,5.3271,6.0524,36.3
1969,5,3.2823,4.7986,6.1297,5.9751,36.4
1969,6,7.8615,5.1902,5.7422,6.2047,36.6
1969,7,3.2520,4.0164,6.0992,6.3506,36.8
1969,8,4.4572,4.4073,7.0166,7.1899,37.0
1969,9,4.3400,4.7243,6.7715,7.0589,37.1
1969,10,4.4247,5.8011,7.1183,7.2531,37.3
1969,11,5.4081,5.0537,6.5219,7.0758,37.5
1969,12,7.5704,5.0640,6.4809,7.6174,37.7
1970,1,2.1826,3.5916,6.5192,8.0544,37.8
1970,2,5.4391,5.3820,7.6203,8.0116,38.0
1970,3,3.1532,4.9682,6.3883,6.9722,38.2
1970,4,7.5536,4.9876,6.5431,6.4031,38.5
1970,5,4.1977,4.2154,6.4964,6.9433,38.6
1970,6,3.2116,3.5251,6.5249,7.0103,38.8
1970,7,5.2368,3.8688,5.9461,6.4966,39.0
1970,8,2.1270,4.2033,5.9970,6.3937,39.0
1970,9,4.2426,4.8644,6.1804,6.2563,39.2
1970,10,6.2403,5.1959,5.7167,5.9005,39.4
1970,11,4.1104,3.8120,5.3350,5.9078,39.6
1970,12,5.2371,4.1454,4.5205,5.0159,39.8
1971,1,2.0884,4.1275,4.2560,4.9163,39.8
1971,2,5.1108,5.4636,4.0674,4.1787,39.9
1971,3,5.1832,5.4406,3.1726,3.4180,40.0
1971,4,6.0968,5.7573,3.4015,3.5236,40.1
1971,5,5.0417,4.7125,3.6554,4.0098,40.3
1971,6,6.1334,3.3708,4.0625,4.3838,40.6
1971,7,2.9624,1.6650,4.8765,5.2508,40.7
1971,8,1.0167,1.3539,5.0804,5.3533,40.8
1971,9,1.0158,1.3527,4.4696,4.3991,40.8
1971,10,2.0291,2.3316,4.5205,4.6319,40.9
1971,11,1.0132,1.9916,4.0626,4.3699,40.9
1971,12,3.9526,3.6357,3.9608,4.3401,41.1
1972,1,1.0091,3.3206,3.3429,3.6705,41.1
1972,2,5.9454,3.9841,3.1016,3.3931,41.3
1972,3,3.0072,2.9695,3.2489,3.4112,41.4
1972,4,2.9995,2.9621,3.3915,3.8336,41.5
1972,5,2.9017,2.9547,3.2489,3.6599,41.6
1972,6,2.9850,2.9476,3.4588,3.8438,41.7
1972,7,2.9776,3.5974,3.5033,4.0727,41.9
1972,8,2.8802,3.5885,3.5032,3.7323,42.0
1972,9,4.9344,3.9065,4.3170,4.5943,42.1
1972,10,2.9509,3.2398,4.4693,4.5781,42.3
1972,11,3.8342,4.1758,4.5236,4.7124,42.4
1972,12,2.9343,5.7746,5.0191,4.9381,42.5
1973,1,5.7589,8.6100,4.8257,5.1676,42.6
1973,2,8.6306,9.8361,5.4368,5.7501,42.9
1973,3,11.4407,9.1380,5.5894,5.9284,43.3
1973,4,9.4369,7.8040,5.8949,6.4942,43.6
1973,5,6.5363,5.8783,5.9712,6.3360,43.9
1973,6,7.4388,10.1343,6.5148,7.0271,44.2
1973,7,3.6598,8.2674,7.3733,7.6582,44.3
1973,8,19.3042,9.4616,8.2919,8.4440,45.1
1973,9,1.8383,5.7288,8.5471,8.7762,45.2
1973,10,7.2422,7.7999,7.1692,7.1285,45.6
1973,11,8.1060,8.6478,6.9734,7.4821,45.9
1973,12,8.0515,11.2172,7.5015,7.4480,46.2
1974,1,9.7860,12.5741,7.3634,7.5908,46.6
1974,2,15.8142,11.6066,7.4594,7.6483,47.2
1974,3,12.1220,10.3388,7.3622,7.5968,47.8
1974,4,6.8837,9.6686,8.4021,8.5513,48.0
1974,5,12.0107,9.8963,8.6493,8.9871,48.6
1974,6,10.1115,10.3575,7.5263,8.2559,49.0
1974,7,7.5667,11.1012,7.6285,7.5381,49.4
1974,8,13.3943,11.5811,7.4142,7.8087,50.0
1974,9,12.3427,10.3433,9.0943,9.2359,50.6
1974,10,9.0063,8.6447,6.0992,6.2766,51.1
1974,11,9.6810,7.2612,6.8632,7.9426,51.5
1974,12,7.2468,6.1580,7.4972,7.5656,51.9
1975,1,4.8558,5.3217,6.6087,7.1751,52.1
1975,2,6.3712,5.2762,5.4620,5.7413,52.5
1975,3,4.7380,5.0081,4.7197,5.4900,52.7
1975,4,4.7195,6.5421,5.2286,5.6260,52.9
1975,5,5.5667,9.0986,4.9695,5.5217,53.2
1975,6,9.3403,8.7984,4.8259,5.2643,53.6
1975,7,12.3889,7.4685,5.4367,6.0191,54.2
1975,8,4.6660,5.6269,5.9970,6.3382,54.3
1975,9,5.3505,6.0920,5.7628,6.4613,54.6
1975,10,6.8643,6.0651,6.2096,6.6428,54.9
1975,11,6.0611,4.7905,5.2839,5.6347,55.3
1975,12,5.2699,4.0104,5.0483,5.6252,55.5
1976,1,3.0404,3.5131,5.0931,5.2600,55.6
1976,2,3.7209,4.2333,4.4186,4.7965,55.8
1976,3,3.7780,5.2175,4.6469,5.0790,55.9
1976,4,5.2010,6.4179,4.7017,5.0290,56.1
1976,5,6.6736,6.6367,4.7402,5.0004,56.5
1976,6,7.3792,6.1100,5.1567,5.5925,56.8
1976,7,5.8574,5.3410,5.2838,5.4368,57.1
1976,8,5.0935,5.0942,5.0802,5.2654,57.4
1976,9,5.0721,4.5882,4.9784,5.1724,57.6
1976,10,5.1170,4.5689,5.0892,5.1653,57.9
1976,11,3.5755,5.0083,4.7322,4.9723,58.0
1976,12,5.0143,7.8346,4.2761,4.4940,58.2
1977,1,6.4351,8.2755,4.1890,4.4024,58.5
1977,2,12.0545,9.1715,4.5711,4.8116,59.1
1977,3,6.3370,7.2387,4.4695,4.7823,59.5
1977,4,9.1231,7.6651,4.4937,4.6209,60.0
1977,5,6.2560,5.9925,4.3676,4.7726,60.3
1977,6,7.6162,5.5013,4.7026,5.0997,60.7
1977,7,4.1054,3.8826,4.8842,5.0720,61.0
1977,8,4.7824,3.8694,5.1953,5.4851,61.2
1977,9,2.7601,4.0821,5.2838,5.6635,61.4
1977,10,4.0657,4.5067,5.8951,6.0128,61.6
1977,11,5.4204,5.1702,6.0072,6.3393,61.9
1977,12,4.0339,5.8215,5.6045,6.1476,62.1
1978,1,6.0562,7.3663,5.5225,6.2433,62.5
1978,2,7.3744,8.6388,6.0094,6.5510,62.9
1978,3,8.6683,9.6643,6.0640,6.5597,63.4
1978,4,9.8736,10.4458,6.5626,6.6156,63.9
1978,5,10.4511,9.0857,6.2008,6.4930,64.5
1978,6,11.0128,7.3085,6.4249,6.7855,65.2
1978,7,5.7932,5.9795,6.5562,7.1878,65.7
1978,8,5.1195,6.5895,6.4980,7.0021,66.0
1978,9,7.0258,6.9851,7.5803,7.6971,66.5
1978,10,7.6231,6.7342,7.8819,8.2008,67.1
1978,11,6.3063,7.5087,8.7514,8.8789,67.4
1978,12,6.2732,9.1088,8.8869,9.2241,67.7
1979,1,9.9466,10.4810,8.7236,9.5403,68.3
1979,2,11.1065,11.0052,9.5173,9.5286,69.1
1979,3,10.3897,11.8920,9.4581,9.6730,69.8
1979,4,11.5195,12.3877,9.4644,9.6726,70.6
1979,5,13.7667,11.8771,9.5224,9.8019,71.5
1979,6,11.8770,10.3944,9.7043,9.7897,72.3
1979,7,9.9876,9.9057,8.8535,9.1743,73.1
1979,8,9.3186,9.6322,9.0578,9.3918,73.8
1979,9,10.4108,8.6199,9.8724,10.0363,74.6
1979,10,9.1672,8.3564,9.9981,10.3437,75.2
1979,11,6.2816,9.9692,11.5018,12.4121,75.9
1979,12,9.6203,12.8610,10.4072,11.7615,76.7
1980,1,14.0057,14.5785,9.7615,12.1988,77.8
1980,2,14.9570,12.8125,11.3485,12.3479,78.9
1980,3,14.7728,11.2169,13.2946,14.4196,80.1
1980,4,8.7078,9.1500,15.1568,15.0311,81.0
1980,5,10.1700,8.7129,8.8026,10.4543,81.8
1980,6,8.5723,8.6562,7.1253,7.9088,82.7
1980,7,7.3963,9.7877,6.0855,8.0313,82.7
1980,8,9.9999,9.7441,7.2495,8.7945,83.3
1980,9,11.9671,8.8024,8.9294,10.0683,84.0
1980,10,7.2654,7.3778,10.9698,11.6342,84.8
1980,11,7.1746,8.4940,10.9905,12.9296,85.5
1980,12,7.6932,11.1228,14.3047,14.9589,86.3
1981,1,10.6142,11.8706,12.0242,14.7208,87.0
1981,2,15.0609,10.6258,14.0587,14.7583,87.9
1981,3,9.9366,8.0503,13.9714,14.5749,88.5
1981,4,6.8800,7.0193,13.0682,12.8133,89.1
1981,5,7.3343,7.7918,13.5738,15.2680,89.8
1981,6,6.8437,8.2285,15.7906,15.5119,90.6
1981,7,9.1974,9.1133,14.4586,14.7290,91.6
1981,8,8.6443,7.7877,15.6607,15.3306,92.3
1981,9,9.4983,6.4803,14.9272,16.0278,93.2
1981,10,5.2205,4.7242,13.5870,14.8649,93.4
1981,11,4.7223,5.1612,12.7155,13.1539,93.7
1981,12,4.2300,4.8421,10.3685,10.8042,94.0
1982,1,6.5313,4.0440,9.4359,11.4008,94.3
1982,2,3.7651,2.4920,11.9998,12.6726,94.6
1982,3,1.8355,4.0096,12.0787,12.8761,94.5
1982,4,1.8753,7.3676,13.4636,13.6718,94.9
1982,5,8.3180,9.4690,12.4230,12.6682,95.8
1982,6,11.9095,7.4442,11.5377,11.9160,97.0
1982,7,8.1794,5.4345,11.5072,13.0417,97.5
1982,8,2.2438,4.4941,8.9303,9.7953,97.7
1982,9,5.8803,4.3489,6.3358,8.5095,97.9
1982,10,5.3583,2.6899,7.0593,7.7642,98.2
1982,11,1.8082,1.7918,7.7243,8.0653,98.0
1982,12,0.9031,1.3255,7.6358,8.4346,97.6
1983,1,2.6641,1.2972,8.1412,8.0860,97.8
1983,2,0.4094,3.2620,8.0373,8.2648,97.9
1983,3,0.8182,5.2855,7.4551,8.1013,97.9
1983,4,8.5584,6.3569,8.5539,8.8372,98.6
1983,5,6.4800,5.1110,8.0033,8.2547,99.2
1983,6,4.0323,4.2853,8.1070,8.8494,99.5
1983,7,4.8208,4.9342,8.4889,8.9823,99.9
1983,8,4.0027,4.3862,8.7889,9.4558,100.2
1983,9,5.9791,3.7123,8.4862,9.4742,100.7
1983,10,3.1768,2.2468,8.6884,8.9038,101.0
1983,11,1.9812,3.4222,8.4390,8.6895,101.2
1983,12,1.5826,4.5925,8.5042,9.0875,101.3
1984,1,6.7029,4.9771,8.5813,9.1824,101.9
1984,2,5.4920,4.6906,8.8855,9.1061,102.4
1984,3,2.7365,4.0241,8.4758,9.3620,102.6
1984,4,5.8432,4.4014,9.4537,9.9734,103.1
1984,5,3.4924,3.7390,9.2672,9.9535,103.4
1984,6,3.8685,4.2396,8.3280,10.0009,103.7
1984,7,3.8560,4.8625,9.1440,10.1957,104.1
1984,8,4.9944,4.5933,9.6771,10.6568,104.5
1984,9,5.7371,2.9285,10.0939,10.8974,105.0
1984,10,3.0485,1.2698,10.3803,10.4740,105.3
1984,11,0.0000,1.0136,8.5817,9.2226,105.3
1984,12,0.7610,2.6553,7.4355,8.6433,105.3
1985,1,2.2799,4.1621,7.6216,7.9711,105.5
1985,2,4.9250,5.0299,7.5618,8.2355,106.0
1985,3,5.2813,4.8850,7.4153,8.7025,106.4
1985,4,4.8835,4.3675,7.7785,8.3647,106.9
1985,5,4.4901,3.3598,7.4582,8.0571,107.3
1985,6,3.7290,2.7296,6.6221,7.2849,107.6
1985,7,1.8602,2.7211,6.5556,6.9894,107.8
1985,8,2.5995,3.3318,6.9754,7.4294,108.0
1985,9,3.7037,3.8148,6.8996,7.2934,108.3
1985,10,3.6923,3.5588,7.0693,7.2166,108.7
1985,11,4.0485,3.5480,7.1537,7.3468,109.0
1985,12,2.9357,1.1007,6.6252,7.3158,109.3
1986,1,3.6597,-1.7141,5.9370,7.1703,109.6
1986,2,-3.2932,-3.7938,6.6299,7.1197,109.3
1986,3,-5.5088,-1.4684,6.6936,7.1658,108.8
1986,4,-2.5795,2.3245,6.2817,6.4699,108.6
1986,5,3.6832,3.3063,5.5448,6.2205,108.9
1986,6,5.8698,2.8096,5.9559,6.4252,109.5
1986,7,0.3659,2.7960,5.8917,6.0910,109.5
1986,8,2.1931,3.0372,5.0350,5.9034,109.7
1986,9,5.8288,2.6691,4.6447,5.2535,110.2
1986,10,1.0897,1.0888,5.1154,5.3216,110.3
1986,11,1.0887,3.1344,5.1268,5.3006,110.4
1986,12,1.0878,4.2078,5.0921,5.5179,110.5
1987,1,7.2268,5.6333,4.7689,5.7767,111.2
1987,2,4.3087,5.3596,5.4745,5.7065,111.6
1987,3,5.3644,5.3405,5.3288,5.5557,112.1
1987,4,6.4056,4.9646,5.2076,5.6788,112.7
1987,5,4.2516,3.8853,3.3129,5.6301,113.1
1987,6,4.2366,4.5715,5.1763,5.8116,113.5
1987,7,3.1676,5.2517,4.9571,5.8181,113.8
1987,8,6.3103,5.2380,4.9925,6.1759,114.4
1987,9,6.2773,3.4813,5.6564,6.3333,115.0
1987,10,3.1264,1.3889,6.4392,6.7495,115.3
1987,11,1.0403,1.3853,4.2353,5.3882,115.4
1987,12,0.0000,2.0743,3.5604,5.4491,115.4
1988,1,3.1154,3.7948,3.4788,5.7887,115.7
1988,2,3.1076,4.8111,4.2430,5.7564,116.0
1988,3,5.1613,5.1393,5.1970,5.7411,116.5
1988,4,6.1644,5.1173,5.3306,5.8236,117.1
1988,5,4.0921,4.7539,5.5797,6.1063,117.5
1988,6,5.0955,5.0741,5.8883,6.6393,118.0
1988,7,5.0740,6.0556,6.2424,6.6964,118.5
1988,8,5.0527,5.6976,5.9550,7.0919,119.0
1988,9,8.0402,4.3461,7.3142,7.4673,119.8
1988,10,3.9999,2.3304,7.0773,7.4069,120.2
1988,11,0.9981,2.9839,6.7918,7.5285,120.3
1988,12,1.9933,4.2993,6.5289,7.5834,120.5
1989,1,5.9603,5.9309,6.0951,8.2965,121.1
1989,2,4.9443,6.5521,7.9004,8.5720,121.6
1989,3,6.8881,7.1722,7.5307,8.9115,122.3
1989,4,7.8240,5.8443,8.7246,9.1254,123.1
1989,5,6.8044,4.2021,8.5153,8.6157,123.8
1989,6,2.9044,2.5765,8.3675,8.8123,124.1
1989,7,2.8974,2.8904,8.2248,8.1648,124.4
1989,8,1.9277,3.8400,7.8515,7.9027,124.6
1989,9,3.8462,4.1517,7.7213,8.0692,125.0
1989,10,5.7462,3.5046,7.6773,8.0856,125.6
1989,11,2.8628,5.6918,7.7002,7.9461,125.9
1989,12,1.9047,6.6169,6.2503,7.7586,126.1
