Index,AABA.AS,ACA.PA,AGN.AS,AIB.IR,ALV.DE,BAS.DE,BAY.DE,BBVA.MC,BNP.PA,CA.PA,ALU.PA,DBK.DE,DAI.DE,DTE.DE,ELE.MC,ENEL.MI,ENI.MI,FORA.AS,FTE.PA,G.MI,GLE.PA,INGA.AS,ISP.MI,LG.PA,MC.PA,MUV2.DE,OR.PA,PHIA.AS,REP.MC,RNO.PA,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SZE.PA,TEF.MC,UC.MI,VIV.PA
2003-07-28,13.69,14.61,9.48,10.31,86.43,38.43,19.2,8.06,42.82,36.79,8.53,51.47,27.08,12.66,11.07,3.63,10.5,10.29,20.26,19.16,52.97,14.9,1.92,52.95,45.91,86.8,54.44,16.74,12.94,42.96,22.51,4.7,44.73,24.34,32.59,46.14,12.44,9.46,2.99,13.01
2003-08-04,13.81,15.46,9.22,10.53,80.35,36.29,17.43,7.91,42.1,37.82,8.2,48.52,26.86,12.76,11.16,3.6,10.9,9.94,20,18.72,52.07,14.33,1.88,52.95,44.38,80.33,53.92,16.46,13.11,42.73,22.32,4.55,43.9,23.23,32.22,45.99,12.18,9.45,3.02,12.82
2003-08-11,14.12,16.1,9.39,10.4,79.93,37.99,17.65,8.19,43.84,38.49,8.82,50.31,28.45,13.01,11.25,3.68,11.33,10.42,21.06,19.21,54.2,15.46,1.87,56.46,45.51,84.7,55.76,17.73,13.57,45.92,22.49,4.73,44.77,23.09,33.4,48.79,12.5,9.85,3.15,13.33
2003-08-18,14.07,15.54,9.81,10.6,80.21,38.9,18.28,8.3,41.96,39.63,9.26,49.22,29.7,12.98,11.4,3.68,11.32,10.72,20.31,19.14,51.44,15.63,1.83,56.24,50.04,92.17,59.02,19.39,14.07,46.48,22.35,4.69,44.47,24.96,33.45,52.64,13,10.09,3.07,13.58
2003-08-25,13.48,14.9,9.63,10.85,75.57,37.95,17.62,8.08,40.86,41.78,9.44,48.22,29.67,12.25,11.22,3.58,11.15,9.81,19.87,18.5,51.35,15.13,1.78,54.41,51.16,80.57,59.72,20.1,14,47.74,22.32,4.64,46.1,25.74,33.07,52.5,13.02,9.87,3.06,13.16
2003-09-01,13.97,14.97,10.18,10.7,79.97,38.33,18.26,8.21,41.24,41.32,10.6,52.32,30.93,12.31,11.22,3.63,11.31,10.12,19.5,19.19,52.75,16.12,1.89,57.62,51.39,87,59.02,20.17,14.1,48.92,22.16,4.73,47.27,28.54,32.83,53.07,13.61,10.13,3.09,14.53
2003-09-08,13.58,14.57,9.89,10.8,76.98,37.19,17.66,7.83,39.93,40.88,10.34,52.06,28.48,12.41,10.98,3.52,11.2,9.7,19.53,19.2,51.69,15.35,1.79,53.52,50.18,83.59,58.83,19.01,13.29,47.09,22.53,4.59,48.8,26.58,30.63,50.51,13.47,9.78,3.05,13.47
2003-09-15,14.15,14.91,10.14,11.05,77.26,37.72,18.85,7.95,41.06,42.33,10.69,52.92,29.21,12.31,11.05,3.54,11.05,9.83,19.42,19.62,53.18,15.67,1.88,54.37,51.16,83.62,58.92,20.29,13.46,49.14,22.32,4.7,50.34,28.27,32.88,52.15,13.19,9.95,3.05,13.82
2003-09-22,13.53,14.65,8.88,10.89,70.98,35.09,17.51,7.45,39.57,40.59,9.71,49.16,26.46,11.88,10.61,3.48,10.75,9.65,18.22,18.56,50.2,13.8,1.75,51.21,49.15,75.13,57.55,18.16,13.06,45.05,21.52,4.43,47.99,25.45,30.52,48.34,12.68,9.51,2.97,13.62
2003-09-29,14.05,14.61,9.37,10.61,74.45,37.72,17.63,7.69,40.98,41.75,10.58,51.8,26.91,12.11,10.61,3.49,10.98,9.65,18.61,18.66,51.82,14.72,1.79,52.1,51.76,79.53,57.74,19.27,13.45,46.87,21.79,4.54,49.07,26.9,31.36,50.74,12.58,9.81,2.97,14.03
2003-10-06,13.95,15.23,9.34,10.52,74.87,35.36,17.06,7.77,40.98,40.86,10.77,51.22,26.57,12.1,10.53,3.49,11.13,9.74,19.13,18.42,52.29,14.5,1.79,52.15,53.49,79.56,56.47,20.05,13.53,45.7,21.22,4.6,47.54,29.23,31.75,51.54,12.72,9.93,2.95,14.79
2003-10-13,14.59,15.46,9.45,10.48,77.73,35.91,17.57,7.79,40.7,41.72,10.63,51.68,27.45,12.1,10.63,3.51,11.18,9.85,18.89,18.57,53.52,15.03,1.77,52.77,54.52,84.01,58.78,20.45,13.73,47.48,21.45,4.72,47.59,29.11,32.51,51.9,12.77,9.78,3.05,15.04
2003-10-20,14.27,15.22,9.02,10.46,75.71,35.39,17.51,7.69,39.03,40.32,10.27,50.21,25.96,12.23,10.54,3.47,10.87,9.47,18.69,18.32,50.76,14.31,1.76,52.19,53.35,86.35,58.22,19.42,13.29,46.44,21.28,4.61,46.78,28.07,31.54,50.32,12.33,9.5,2.98,14.91
2003-10-27,15.26,15.73,9.63,10.67,86.06,35.09,19.03,8.26,40.7,41.56,10.82,52.14,27.71,12.8,10.8,3.47,11.07,9.79,18.3,18.71,54.33,15.22,1.89,54.81,55.55,89.04,60.01,21,13.66,49.48,21.89,4.93,47.95,29.52,33.72,54.13,12.5,9.86,3.07,15.53
2003-11-03,15.96,15.75,10.16,10.75,88.77,38.75,20.6,8.44,42.1,42.52,10.97,52.99,28.14,12.74,11.02,3.49,11.32,9.93,18.44,19.05,57.22,16.24,1.99,56.51,56.86,90.77,60.95,21.84,13.85,50.27,22.68,5.19,48.98,31.57,33.89,57.06,12.72,9.95,3.05,16.66
2003-11-10,15.66,15.82,9.92,10.5,89.66,38.45,20.61,8.48,42.08,42.18,10.62,52.44,27.88,12.99,10.97,3.54,11.41,10.06,18.2,19.74,56.24,15.86,2.03,59.04,56.2,90.01,60.48,21.78,13.4,50.14,23.67,5.2,50.47,31.22,34.39,58.57,12.76,10.03,3.05,16.32
2003-11-17,15.12,15.48,9.17,10.28,83.46,37.5,19.95,8.23,40.93,40.68,10.05,49.85,26.86,12.65,10.78,3.4,11.16,9.73,18.76,19.45,55.22,14.93,1.94,58.82,52.65,85.74,59.02,20.41,13.19,47.31,23.8,5.1,50.16,29.68,33.87,54.65,12.59,9.69,3.01,16.33
2003-11-24,15.52,15.67,9.5,10.47,87.92,37.5,20.63,8.37,42.32,41.37,10.38,53.34,27.32,13.11,10.84,3.44,11.52,9.99,18.9,19.7,56.79,15.22,2.04,59.13,53.68,82.13,58.4,21.46,13.26,48.22,24.64,5.26,50.88,30.21,34.68,56.56,13.09,9.95,3.03,16.46
2003-12-01,15.83,15.77,9.87,10.22,88.49,38.85,20.95,8.58,43.71,40.08,10.25,56.96,29.18,13.11,10.9,3.41,11.6,10.11,18.75,20.13,58.11,15.24,2.11,59.8,54.39,80.55,58.69,21.81,13.35,49.05,26.28,5.4,50.38,30.92,35.24,58.87,13.8,10.09,3.19,16.22
2003-12-08,15.38,16.02,9.63,10.33,88.62,38.18,20.37,8.6,43.86,39.29,10.18,58.4,30.45,13.45,11.27,3.45,11.92,10,18.96,20.24,58.28,15.15,2.02,60.6,52.89,80.69,58.69,21.35,13.42,46.87,26.74,5.41,50.65,30.77,35.12,59.08,13.86,10.5,3.13,16.2
2003-12-15,15.57,16.32,9.76,10.52,95.05,39.23,21.05,8.85,44.08,39.11,9.85,57.69,31.2,13.26,11.94,3.52,12.31,10.1,20.19,20.12,59.34,15.22,2.07,61.67,53.41,82.57,60.1,20.83,13.9,47.27,27.93,5.48,52.36,30.87,35.31,58.79,14.26,10.74,3.15,16.5
2003-12-22,15.6,16.1,9.76,10.66,93.36,39.35,21.05,9,44.21,38.88,9.77,58.26,31.74,13.47,12.13,3.49,12.1,10.02,20,19.79,58.66,15.24,2.06,62.07,52.99,82.31,61,20.82,13.93,47.31,28.72,5.58,52.95,30.92,35.69,58,14.34,10.79,3.1,16.5
2003-12-29,15.96,16.45,10.15,10.85,94.66,40.67,21.73,9.34,45.16,40.34,10.01,60.99,32.02,14.16,12.31,3.52,12.48,10.5,20.21,20.13,60.32,15.97,2.04,63.98,54.44,85.39,62.27,21.75,14.28,48.22,28.6,5.81,54.39,31.89,36.4,59.48,14.64,11.05,3.15,16.75
2004-01-05,15.7,16.76,10.31,11.19,92.83,40.63,22.24,9.39,45.7,38.28,11.71,58.97,31.15,14.53,11.98,3.56,11.94,10.88,20.18,20.12,61.89,16.2,2.04,61,55.38,82.05,60.86,22.2,14.1,47.14,27.41,5.81,51.64,32.89,36.09,62.78,14.38,11.51,3.09,17.61
2004-01-12,16.36,16.81,11.08,11.55,101.72,41.1,22.73,9.39,45.7,38.93,13.09,59.3,33.4,14.67,11.96,3.65,12.02,11.66,20.43,21.01,63.08,17.41,2.03,61.4,57.3,84.51,62.79,23.3,14.1,47.74,28.08,6.37,53.67,31.51,36.84,63.4,14.44,11.61,3.1,18.09
2004-01-19,16.55,17.1,10.75,11.58,104.09,40.74,22.41,9.4,46.51,38.97,12.53,58.9,33.34,15.52,12.31,3.74,12.28,11.52,21.34,20.99,63.38,17.89,2.04,59.98,57.4,84.22,62.79,22.42,14.89,48.61,30.56,6.39,52,31.25,36.92,62.56,14.68,12.05,3.18,18.22
2004-01-26,16.3,16.9,10.39,11.48,96.41,40.35,22.31,9.03,45.02,36.92,12.66,57.69,32.88,15.15,12.11,3.74,12.11,11.45,20.93,20.62,60.53,17.08,2.04,58.51,54.3,82.55,60.05,21.94,14.84,47,29.69,6.22,51.51,31.2,38.02,61.39,15.18,11.53,3.15,18.18
2004-02-02,15.77,17.3,10.19,11.28,96.59,39.08,21.29,8.8,44.93,37.36,11.54,61.17,31.47,14.85,12.19,3.82,12.15,11.71,19.8,20.45,61.98,17.33,1.94,59.75,53.46,79.46,61.85,22.38,15.05,45.87,31.05,6.27,52.27,31.34,38.19,60.93,15.35,11.95,3.07,17.73
2004-02-09,15.88,17.73,10.35,11.02,96.29,38.14,21.46,9.22,46.19,37.36,11.85,61.52,31.48,14.85,12.54,3.9,12.05,11.67,19.82,20.48,61.68,17.62,1.99,58.46,55.61,78.4,61.61,23.03,15.29,46.87,30.43,6.32,49.84,32.09,39.41,62.82,15.77,12.07,3,18.27
2004-02-16,15.98,17.63,10.45,11.13,98.12,38.1,20.89,9.3,46.55,39.63,11.99,64.94,30.95,15.48,12.76,3.95,12.37,11.96,20.02,20.8,61.64,17.38,1.94,60.15,57.44,81.41,64.25,23.07,15.26,48.61,30.5,6.31,50.25,31.34,40.07,61.15,16.12,12.11,3.01,19.55
2004-02-23,15.72,17.82,10.16,10.36,93.89,38.9,20.86,9.36,45.79,40.08,12.41,63.28,31.07,14.88,12.68,4.02,12.78,11.92,19.49,20.56,60.74,16.77,1.94,61.67,57.68,81.28,62.41,22.14,15.02,48.83,32.55,6.33,49.53,29.92,39.26,58.62,16.19,12.04,3.07,19.81
2004-03-01,15.69,17.21,10.18,10.61,93.83,39.45,21.49,9.46,45.65,40.21,13.68,68.77,31.33,15.14,12.86,4.11,13.05,12.32,19.59,20.97,61.93,16.87,1.92,62.47,57.72,82.75,62.13,22.63,15.39,50.35,34.26,6.35,49.8,30.94,40.42,60.32,15.71,12.19,3.09,19.68
2004-03-08,15.5,18.51,9.49,10.57,88.73,38.19,19.86,9.07,44.16,38.08,12.49,63.97,29.74,14.32,12.47,3.99,13,11.64,18.87,20.04,59.17,15.97,1.88,58.73,55.05,79.16,60.67,20.96,15.02,48.74,32.92,6.04,51.42,29.22,37.64,57.36,14.97,11.61,3.09,19.04
2004-03-15,15.5,18.27,8.86,10.67,82.51,37.28,18.29,8.91,44.19,37.55,12.08,62.18,29.14,13.91,11.4,3.97,13.25,11.29,18.48,19.97,58.92,15.08,1.77,57.35,54.11,78.99,58.64,20.72,15.15,47.96,32.86,5.92,50.43,29.4,37.14,55.83,14.52,11.41,2.85,18
2004-03-22,15.34,18.06,8.91,10.47,84.33,37.4,18.45,9.1,44.33,36.99,12.08,61.38,29.41,13.91,11.81,4.07,13,11.07,18.19,19.69,57.98,15.08,1.79,58.69,54.25,78.82,58.12,21.24,15.07,48.31,32.79,6.02,48.35,29.19,38.13,56.25,14.84,11.38,2.84,18.3
2004-03-29,15.63,18.16,9.61,11,87.9,39.38,18.9,9.43,46.82,37.71,13.08,64.88,30.42,14.12,12.27,4.31,13.57,11.67,19.18,20.09,61.81,16.14,1.83,61.27,56.6,81.41,60.53,22.81,15.35,50.83,34.84,6.33,48.98,31.59,39.45,59.04,15.4,11.77,2.92,19.38
2004-04-05,15.74,18.7,9.51,10.97,86.43,39.28,19.28,9.61,47.23,35.97,13.33,65.79,30.54,13.84,12.32,4.32,13.61,11.69,18.63,20.42,62.49,15.81,1.87,61.04,56.65,80.59,60.24,22.92,16.27,52.35,35.2,6.5,48.62,32.18,39.17,59.09,15.4,11.89,2.89,18.96
2004-04-12,15.47,17.82,9.63,10.81,86.61,40,19.86,9.62,46.37,36.03,12.61,65.23,30.34,13.9,12.51,4.43,14.1,11.91,18.12,20.92,61.76,16.09,1.84,61,56.83,81.59,61.19,21.95,16.6,51.48,36.78,6.41,48.62,31.03,39.05,58.8,15.9,11.89,2.92,18.61
2004-04-19,15.72,18.29,10.02,11.11,86.62,40.49,20.1,9.6,46.96,36.34,12.71,65.67,34.25,13.63,12.51,4.37,14.04,11.98,18.3,21.08,62.53,16.29,1.83,63.14,57.02,80.89,61.47,22.63,16.3,56.79,35.1,6.35,50.38,30.81,40.58,61.45,15.59,11.82,2.84,19.14
2004-04-26,15.34,17.72,9.48,10.5,82.89,40.41,20.8,9.45,45.11,36.3,11.85,63.05,33.56,13.63,12.31,4.29,13.74,11.64,17.7,20.79,59.09,15.64,1.83,61.84,55.15,78.13,59.35,20.9,16,54.14,34.24,6.13,47.72,29.8,39.14,56.92,15.15,11.43,2.81,18.04
2004-05-03,15.03,17.54,9.29,10.74,82.82,38.83,20.41,9.33,44.29,35.82,11.87,60.95,32.43,12.95,12.14,4.31,13.78,11.25,17.16,20.33,57.68,15.17,1.8,61.22,54.3,75.75,60.01,20.99,15.8,52.79,33.92,5.98,48.31,30.36,37.5,55.72,14.35,11.32,2.81,17.59
2004-05-10,14.56,16.92,8.42,10.47,77.98,38.86,20.35,9.11,44,35.35,10.91,59.5,31.97,12.44,11.8,4.31,13.49,11.09,16.53,19.88,58.58,15.33,1.92,60.55,52.85,72.66,60.74,19.88,15.35,51.09,33.73,5.83,48.13,30.42,36.59,52.94,14.43,10.53,2.81,16.95
2004-05-17,14.76,17.46,8.17,10.32,79.92,38.85,20.85,9.11,44.78,35.47,10.91,60.81,31.41,12.6,11.77,4.52,13.26,11.41,16.76,19.97,60.43,15.74,1.97,61.53,54.63,71.89,60.5,20.16,15.26,51.27,33.5,5.89,47.54,30.45,37.08,53.94,14.24,10.74,2.84,17.24
2004-05-24,15.17,17.81,8.59,10.13,81.32,39.3,21.85,9.3,45.02,37.5,11.22,58.85,32.77,13,12.16,4.58,13.52,11.72,17.31,20.39,61.23,16.17,2.24,62.91,55.48,73.84,60.64,20.46,15.8,53.05,33.76,5.99,48.71,31.96,38.33,54.45,14.42,10.94,2.9,17.94
2004-05-31,15.09,18.45,8.73,10.65,80.86,40.07,22.21,9.42,46.37,37.76,10.97,61.72,33.6,13.27,12.35,4.56,13.69,12,17.43,20.32,62.99,16.48,2.29,62.73,55.38,76.26,60.98,20.26,15.72,53.09,34.29,6.04,48.53,31.36,38.78,55.14,14.52,11.01,2.9,18.73
2004-06-07,15.29,18.46,8.7,10.69,82.88,39.9,21.76,9.48,45.61,37.4,10.74,62.92,34.33,13.58,12.56,4.72,13.99,12.01,17.87,20.83,62.9,16.63,2.32,62.65,55.43,77.45,60.98,20.37,16.05,53.66,34.97,7.29,48.67,32.28,38.64,56.02,14.54,11.09,2.97,18.36
2004-06-14,15.47,18.14,8.46,10.69,82.75,40.08,21.4,9.62,46.82,37.72,10.94,61.6,34.25,13.65,12.79,4.64,14.57,12.28,17.93,21.14,63.74,16.76,2.33,64.02,55.62,78.17,62.79,19.64,16.64,53.48,36.55,7.36,47.72,32.64,39.2,54.34,15.25,11.14,3.06,18.65
2004-06-21,15.57,17.97,8.55,10.82,83.14,40.9,21.91,9.49,46.19,37.97,11.96,60.29,34.67,13.58,12.88,4.79,14.3,12.25,18.12,21.35,62.46,16.87,2.39,63.89,56.29,77.14,63.65,20.12,16.8,54.14,36.59,7.19,47.18,32.79,38,54.98,15.35,11.28,3.07,19.51
2004-06-28,15.47,17.47,8.62,10.89,84.47,41.16,21.91,9.43,44.46,36.59,11.53,59.16,33.48,13.48,12.65,4.72,13.78,12.14,18.37,21.05,60.79,16.77,2.38,63.67,55.67,77.42,61.5,20.02,16.4,53.79,37.25,7.06,46.87,32.61,37.34,54.48,15.21,11.3,3.07,19.39
2004-07-05,15.08,17.2,8.24,10.82,80.62,41.33,21.44,9.42,44.27,37.04,11.06,57.42,32.81,13.38,12.74,4.79,14.33,12.1,17.9,21.02,61.05,16.61,2.41,63.09,55.62,73.77,58.93,19.53,16.67,52.74,39,7.03,48.49,31.13,37.21,53.27,15.22,11.34,3.02,19.33
2004-07-12,14.77,17.1,7.99,10.71,78.15,41.32,20.82,9.42,42.51,36.78,10.9,54.51,32.27,13.24,12.7,4.76,14.17,12.01,17.76,20.93,58.32,16.08,2.31,63.98,54.82,71.21,57.49,18.41,16.52,52.31,38.41,7,48.13,30.45,36.53,52.34,15.11,11.24,2.99,18.07
2004-07-19,14.55,17.13,8.06,10.81,75.17,40.49,20.16,9.22,41.76,36.18,10.66,54.66,32.46,12.72,12.4,4.68,13.96,11.79,17.24,20.84,57.88,16.01,2.32,63.4,53.77,67.33,56.92,18.19,16.31,52.01,37.81,6.62,49.21,30.51,36,51.95,14.82,11.15,3,17.67
2004-07-26,15.13,17.34,8.2,11.16,76.46,41.58,20.75,9.58,43.56,37.16,10.25,54.23,33.31,13.17,12.52,4.72,14.46,12.21,18.09,21.09,60.17,16.87,2.35,63.36,53.77,70.13,56.83,18.52,16.24,57.01,38.48,6.54,49.62,32.2,37.73,55.08,14.88,11.33,3.01,17.85
2004-08-02,15,17.51,7.73,11.29,71.99,41.29,19.89,9.38,43.61,35.71,9.32,50.62,30.85,12.7,12.25,4.48,14,11.84,17.19,20.33,58.05,16.84,2.33,60.82,49.88,66.66,54.34,17.28,15.48,56.44,38.58,6.56,49.71,30.08,37.28,52.45,14.35,10.68,2.97,16.81
2004-08-09,14.85,17.27,7.35,11.49,70.89,40.05,18.58,9.14,43.82,35.29,8.62,49.68,29.94,12.86,12.06,4.47,14.09,11.58,16.9,20.16,59.02,16.92,2.17,60.11,48.32,65.99,52.44,16.58,15.14,54.01,37.27,6.49,50.25,28.16,36.7,50.44,13.86,10.48,2.9,16.76
2004-08-16,15.18,17.87,7.66,11.38,73.52,40.89,19.43,9.35,44.66,35.46,9.28,52.32,29.87,13.27,12.31,4.45,14.04,11.72,17.26,20.28,60.43,17.38,2.21,60.69,49.03,66.69,53.25,17.13,15.41,54.83,36.83,6.54,50.43,28.77,37.15,51.95,14.18,10.72,2.93,17.23
2004-08-23,15.61,18.46,7.99,11.51,77.12,42.29,20.14,9.49,46.06,36.7,9.66,53.71,31.2,13.86,12.62,4.59,14.29,12.37,17.84,20.63,62.46,18.15,2.32,63.14,50.88,69.39,53.34,17.79,15.63,57.79,38.2,6.69,52.77,30.04,38.71,53.69,14.66,11.07,3,17.97
2004-08-30,16.01,18.71,8.14,11.76,78.1,42.77,19.65,9.82,46.15,39.31,9.16,54.51,31.45,13.67,12.86,4.7,14.87,12.69,17.05,21.06,62.73,18.28,2.39,63.85,50.88,68.84,53.44,17.58,15.92,57.92,38.61,6.92,52.32,29.28,38.93,55.36,15.59,11.08,3.04,17.77
2004-09-06,15.89,19.1,8.15,11.76,78.8,42.59,19.71,9.75,46.28,38.73,9.42,53.36,31.45,13.64,12.81,4.6,14.84,12.63,17.35,21.35,62.46,18.28,2.33,64.51,51.73,69.45,53.68,17.78,15.71,59.79,36.97,6.87,50.79,30.56,39.4,56.49,15.52,11.19,3,18.18
